code,level,type,localPrefix,name,postCode
63.10.08.2014,4,DESA,Desa,Gunungraya,72211
63.10.09,3,KECAMATAN,Kecamatan,Angsana,
63.10.09.2001,4,DESA,Desa,Bunati,72275
63.10.09.2002,4,DESA,Desa,Purwodadi,72275
63.10.09.2003,4,DESA,Desa,Sumber Baru,72275
63.10.09.2004,4,DESA,Desa,Karang Indah,72275
63.10.09.2005,4,DESA,Desa,Angsana,72275
63.10.09.2006,4,DESA,Desa,Banjar Sari,72275
63.10.09.2007,4,DESA,Desa,Bayan Sari,72275
63.10.09.2008,4,DESA,Desa,Makmur,72275
63.10.09.2009,4,DESA,Desa,Mekar Jaya,72275
63.10.10,3,KECAMATAN,Kecamatan,Kuranji,
63.10.10.2001,4,DESA,Desa,Giri Mulya,72272
63.10.10.2002,4,DESA,Desa,Kuranji,72272
63.10.10.2003,4,DESA,Desa,Waringin Tunggal,72272
63.10.10.2004,4,DESA,Desa,Mustika,72272
63.10.10.2005,4,DESA,Desa,Indra Lokajaya,72274
63.10.10.2006,4,DESA,Desa,Karang Intan,72274
63.10.10.2007,4,DESA,Desa,Ringkit,72272
63.11,2,KABUPATEN,Kabupaten,Balangan,
63.11.01,3,KECAMATAN,Kecamatan,Juai,
63.11.01.2001,4,DESA,Desa,Muara Ninian,71665
63.11.01.2002,4,DESA,Desa,Hamarung,71665
63.11.01.2003,4,DESA,Desa,Juai,71665
63.11.01.2004,4,DESA,Desa,Buntu Karau,71665
63.11.01.2005,4,DESA,Desa,Bata,71665
63.11.01.2006,4,DESA,Desa,Galumbang,71665
63.11.01.2007,4,DESA,Desa,Sungai Batung,71665
63.11.01.2008,4,DESA,Desa,Sirap,71665
63.11.01.2009,4,DESA,Desa,Tigarun,71665
63.11.01.2010,4,DESA,Desa,Teluk Bayur,71665
63.11.01.2011,4,DESA,Desa,Pamurus,71665
63.11.01.2012,4,DESA,Desa,Marias,71665
63.11.01.2013,4,DESA,Desa,Lalayau,71665
63.11.01.2014,4,DESA,Desa,Mihu,71665
63.11.01.2015,4,DESA,Desa,Hukai,71665
63.11.01.2016,4,DESA,Desa,Tawahan,71665
63.11.01.2017,4,DESA,Desa,Gulinggang,71665
63.11.01.2018,4,DESA,Desa,Mungkur Uyam,71665
63.11.01.2019,4,DESA,Desa,Panimbaan,71665
63.11.01.2020,4,DESA,Desa,Wonorejo,71665
63.11.01.2021,4,DESA,Desa,Sumber Rejeki,71665
63.11.02,3,KECAMATAN,Kecamatan,Halong,
63.11.02.2001,4,DESA,Desa,Hauwai,71666
63.11.02.2002,4,DESA,Desa,Bangkal,71666
63.11.02.2003,4,DESA,Desa,Mantuyan,71666
63.11.02.2004,4,DESA,Desa,Tabuan,71666
63.11.02.2005,4,DESA,Desa,Halong,71666
63.11.02.2008,4,DESA,Desa,Puyun,71666
63.11.02.2009,4,DESA,Desa,Buntu Pilanduk,71666
63.11.02.2010,4,DESA,Desa,Gunung Riut,71666
63.11.02.2011,4,DESA,Desa,Kapul,71666
63.11.02.2012,4,DESA,Desa,Mamantang,71666
63.11.02.2013,4,DESA,Desa,Binjai Punggal,71666
63.11.02.2014,4,DESA,Desa,Liyu,71666
63.11.02.2015,4,DESA,Desa,Binuang Santang,71666
63.11.02.2016,4,DESA,Desa,Aniungan,71666
63.11.02.2017,4,DESA,Desa,Binju,71666
63.11.02.2018,4,DESA,Desa,Karya,71666
63.11.02.2019,4,DESA,Desa,Uren,71666
63.11.02.2020,4,DESA,Desa,Marajai,71666
63.11.02.2021,4,DESA,Desa,Suryatama,71666
63.11.02.2022,4,DESA,Desa,Baruh Panyambaran,71666
63.11.02.2023,4,DESA,Desa,Mauya,71666
63.11.02.2024,4,DESA,Desa,Padang Raya,71666
63.11.02.2025,4,DESA,Desa,Sumber Agung,71666
63.11.02.2026,4,DESA,Desa,Mamigang,71666
63.11.03,3,KECAMATAN,Kecamatan,Awayan,
63.11.03.2004,4,DESA,Desa,Bihara,71664
63.11.03.2005,4,DESA,Desa,Pematang,71664
63.11.03.2006,4,DESA,Desa,Merah,71664
63.11.03.2007,4,DESA,Desa,Awayan,71664
63.11.03.2008,4,DESA,Desa,Pudak,71664
63.11.03.2009,4,DESA,Desa,Badalungga,71664
63.11.03.2010,4,DESA,Desa,Tundakan,71664
63.11.03.2011,4,DESA,Desa,Sikontan,71664
63.11.03.2012,4,DESA,Desa,Pulantan,71664
63.11.03.2013,4,DESA,Desa,Tundi,71664
63.11.03.2014,4,DESA,Desa,Muara Jaya,71664
63.11.03.2016,4,DESA,Desa,Bihara Hilir,71664
63.11.03.2018,4,DESA,Desa,Baru,71664
63.11.03.2020,4,DESA,Desa,Awayan Hilir,71664
63.11.03.2021,4,DESA,Desa,Putat Basiun,71664
63.11.03.2022,4,DESA,Desa,Sei Pumpung,71664
63.11.03.2024,4,DESA,Desa,Badalungga Hilir,71664
63.11.03.2025,4,DESA,Desa,Nungka,71664
63.11.03.2026,4,DESA,Desa,Tangalin,71664
63.11.03.2027,4,DESA,Desa,Kedondong,71664
63.11.03.2029,4,DESA,Desa,Baramban,71664
63.11.03.2031,4,DESA,Desa,Ambakiang,71664
63.11.03.2032,4,DESA,Desa,Piyait,71664
63.11.04,3,KECAMATAN,Kecamatan,Batu Mandi,
63.11.04.2001,4,DESA,Desa,Tariwin,71663
63.11.04.2002,4,DESA,Desa,Lok Batu,71663
63.11.04.2003,4,DESA,Desa,Munjung,71663
63.11.04.2004,4,DESA,Desa,Pelajau,71663
63.11.04.2005,4,DESA,Desa,Batumandi,71663
63.11.04.2006,4,DESA,Desa,Riwa,71663
63.11.04.2007,4,DESA,Desa,Mantimin,71663
63.11.04.2008,4,DESA,Desa,Mampari,71663
63.11.04.2009,4,DESA,Desa,Bungur,71663
63.11.04.2010,4,DESA,Desa,Teluk Mesjid,71663
63.11.04.2011,4,DESA,Desa,Timbun Tulang,71663
63.11.04.2012,4,DESA,Desa,Banua Hanyar,71663
63.11.04.2013,4,DESA,Desa,Bakung,71663
63.11.04.2014,4,DESA,Desa,Karuh,71663
63.11.04.2015,4,DESA,Desa,Guha,71663
63.11.04.2016,4,DESA,Desa,Gunung Manau,71663
63.11.04.2017,4,DESA,Desa,Hampa Raya,71663
63.11.04.2018,4,DESA,Desa,Kasai,71663
63.11.05,3,KECAMATAN,Kecamatan,Lampihong,
63.11.05.2001,4,DESA,Desa,Tanah Habang Kiri,71661
63.11.05.2002,4,DESA,Desa,Panaitan,71661
63.11.05.2003,4,DESA,Desa,Tanah Habang Kanan,71661
63.11.05.2004,4,DESA,Desa,Batu Merah,71661
63.11.05.2005,4,DESA,Desa,Lampihong Kanan,71661
63.11.05.2006,4,DESA,Desa,Lampihong Selatan,71661
63.11.05.2007,4,DESA,Desa,Lampihong Kiri,71661
63.11.05.2008,4,DESA,Desa,Lajar,71661
63.11.05.2009,4,DESA,Desa,Kusambi Hulu,71661
63.11.05.2010,4,DESA,Desa,Kusambi Hilir,71661
63.11.05.2011,4,DESA,Desa,Simpang Tiga,71661
63.11.05.2012,4,DESA,Desa,Matang Lurus,71661
63.11.05.2013,4,DESA,Desa,Lok Hamawang,71661
63.11.05.2014,4,DESA,Desa,Kupang,71661
63.11.05.2015,4,DESA,Desa,Tampang,71661
63.11.05.2016,4,DESA,Desa,Matang Hanau,71661
